Gene	Length
ABHD5	7539
NUP210	8195
GPATCH11P1	791
CTDSPL	5876
SFMBT1	5681
CCR8	1484
PPIAP71	493
CSNKA2IP	3329
ROBO2	16663
LINC00506	9728
PROS2P	1951
CACNA2D3-AS1	2078
MAPKAPK3	3915
RPL10AP6	652
ARL6	4561
VGLL3	12740
GBE1	4651
RPL17P17	557
MTCO2P6	685
HNRNPA3P8	974
HMGB1P38	577
DOCK3	9069
GXYLT2	3683
PRICKLE2-AS1	6505
ICE2P2	2787
ID2B	405
FBXL2	7644
RPEP2	701
ENPP7P2	943
FRMD4B	11201
FTH1P23	550
EIF4BP4	1780
CYB561D2	3128
EEF1GP3	1288
MUSTN1	702
CTNNB1	11759
DENND6A	5115
CACNA2D3	4719
MTHFD2P1	2709
SETP6	568
OR5BM1P	366
OR5AC1	925
CADPS	14665
CYP51A1P1	1507
KBTBD8	4736
VTI1BP1	700
UBA3	4106
OR7E121P	1022
UBFD1P1	814
PPATP1	1547
LINC02008	4922
PDZRN3	6139
RPL21P41	264
CPOX	3157
FAM3D-AS1	1812
FAM107A	5321
PSMC1P6	1319
ZNF717	7648
WDR82P1	939
EOGT	5365
FCF1P3	590
UNC93B3	687
RCC2P5	1487
OSBPL9P1	1469
RIOX2	6880
SRRM1P2	1192
SNRPCP10	210
RPS3AP15	781
LINC00973	962
CSP2	1368
NDUFA5P5	342
RARRES2P1	481
ADAMTS9-AS1	7003
CAP1P1	1411
GNL3	3238
AGGF1P3	1213
MTRNR2L12	1049
PSMD12P1	1366
EPHA3	6577
IMPG2	8352
TMEM30CP	1291
TMF1	7911
MTND1P16	898
MRPS17P3	385
HSPE1P19	295
LINC02018	6878
HNRNPKP4	1386
MTATP6P22	598
GABRR3	5703
RPS18P6	458
CLUHP10	980
TUBBP11	252
LINC02070	1321
OR5K4	966
LINC02077	409
TBC1D23	5176
TOMM70	5078
MTCO1P6	1384
SENP7	6396
LINC00971	8725
ACTG1P13	1043
ACTR3P3	893
CMSS1	7207
LINC02050	1259
NIT2	9226
DUSP12P1	516
EBLN2	1679
NDUFA4P2	244
CBLB	12269
DENND6A-AS1	364
MTND4P16	1367
LNP1	1910
LINC01990	1867
MTND6P6	263
RPL38P4	214
CD200R1L-AS1	770
CDV3P1	739
LINC00879	6032
ZMYND10	2889
FEZF2	2228
CCDC191	5284
GUCA1C	1164
ASB14	3240
RPL18AP8	528
KRT18P15	1291
CRYBG3	10979
COL8A1	9408
ARMC10P1	855
NEPRO	6490
H3P12	407
ALCAM	7179
CCDC137P	838
CFAP20DC-AS1	3980
LINC00636	1482
ABHD10	3026
GCSAM	3750
BBX	11892
CLEC3B	985
RAP1BP2	544
NT5DC2	4799
EIF4E3	10808
ZNF90P1	1951
TMPRSS7	3050
PTMAP8	342
COX6CP6	228
ST13P14	734
MTND5P16	1703
MTND4LP3	276
LINC00882	19150
LRTM1	1575
GPR15	2704
LINC01205	6602
DENND6A-DT	2919
ITIH4-AS1	395
TMEM158	1822
MTND2P14	351
CD200	2991
ZNF587P1	1386
LINC01215	2592
SAMMSON	15702
MTCO1P35	228
TAFA4	3255
TMEM39A	5867
KRT8P35	1338
SLMAP	15296
HESX1	1493
UBE2Q2P9	202
MANF	2139
GAPDHP50	993
TIMMDC1	2715
IP6K1	5200
DZIP3	6943
LINC00698	2745
CFAP44-AS1	1331
TUSC7	3324
DPPA2	1383
SPCS1	5121
LINC02017	474
STAB1	10588
HMGB1P36	576
HEG1	9964
PLA1A	2169
NFYBP1	618
GPR27	2642
TEX55	1964
ALDH1L1-AS1	437
OR7E29P	907
CCDC54	1197
LINC00901	1452
CD200R1	3890
ALG1L6P	758
CDCP1	6508
ZNF860	3379
PPIAP70	495
QTRT2	8054
CD80	3213
NR1D2	5793
PGAM1P3	565
UBL5P3	231
CLDND1	5210
SUCLG2-AS1	11122
SERBP1P3	809
RPS26P21	348
RFT1	5479
MTND3P6	339
MTCO2P29	189
LINC02035	5476
C3orf85	3434
B4GALT4-AS1	552
OR5AC2	930
FHIT	7472
CFAP44	12160
ARL6IP5	2555
OR7E66P	955
BZW1P2	826
ACOX2	3823
PPIAP15	484
LINC02016	1607
IGSF11	4899
CMTM7	3724
SPICE1	7941
TGFBR2	6850
VPS26AP1	979
MRPS31P1	196
ARHGEF3-AS1	647
MORC1	3747
CCR4	3025
LINC00691	3446
TAGLN3	1716
MAGI1-IT1	2567
OR7E130P	964
IFT57	3631
LSAMP	10286
LINC01471	6861
RPL10P7	625
MTCO3P35	781
DUX4L26	1255
SNX4	2708
B4GALT4	6988
TPRA1	5621
BTLA	3610
NEK4	6393
SLC9C1	4208
RPSAP29	869
RAD51AP1P1	1001
ATG3	6110
COPS8P2	627
HSPBAP1	5445
RBM15B	6624
OR7E93P	907
UPK1B	2256
HSPA8P9	1943
UBE2E1	3346
TRAT1	2456
TIMMDC1-DT	504
MORC1-AS1	564
EIF1B	1889
ZBED2	2214
C3orf56	1740
NPM1P23	849
COL6A4P2	3928
PPP4R2	5945
ACP3	4280
SEMA3F	4826
DSTNP4	474
MAGI1-AS1	591
RFKP2	477
CABYRP1	1045
LINC00488	3613
NPM1P17	602
OR7E22P	1277
ARHGAP31-AS1	624
SLC38A3	3968
BFSP2	2009
PHLDB2	12309
SLC41A3-AS1	1656
MRAS	6258
FAM3D	1626
ZNF621	8943
RNF7	3102
OSBPL11	4598
MSL2	5411
LINC00994	2129
OR7E100P	1015
RPL23AP41	458
PDIA5	4067
IL20RB	2443
SLC35A5	4828
ILDR1	2995
TMEM108-AS1	3269
DIMT1P1	763
ARL4AP4	518
ESYT3	9816
STAG1	7843
DUTP1	470
ATP6V1A	5116
OR7E55P	895
PDZRN3-AS1	1598
GM2AP1	521
HMGN2P25	268
HACD2	5219
NT5C3AP2	959
PROK2	1613
FSTL1	8467
APPL1	7516
USF3	13738
SOX14	2020
MINDY4B	2355
SYNPR-AS1	558
A4GNT	1779
ATP6V0CP2	207
RPL32P9	407
ENPP7P3	241
LINC02024	1330
OR5K3	966
ATP1B3-AS1	376
COMMD2	4895
NECTIN3	7717
IGSF11-AS1	1604
PLCXD2	8974
PRICKLE2	14738
LINC02042	2022
PSMC1P1	1320
LINC02032	2473
LINC02044	2502
LINC02034	760
FKBP1AP4	336
LSAMP-AS1	553
LINC02029	2653
SIDT1-AS1	465
RPL21P39	483
IL20RB-AS1	562
TBILA	1937
ZIC1	6825
CLSTN2-AS1	2693
RUVBL1	6998
PBX2P1	1291
HMGN1P10	553
SUCNR1	4181
NDUFB4	1877
CEP70	4409
LINC02045	1166
NUDT16-DT	8656
PPIAP72	504
VN2R1P	1743
KCNAB1-AS1	456
RPL21P71	459
CPHL1P	3934
SLC9A9-AS1	518
PPM1L	12442
ARHGAP31	9374
CP	7072
CLDN18	3715
DBR1	3156
PLCXD2-AS1	491
NDUFS6P1	316
PARP14	10274
TDGF1P6	448
DZIP1L	5045
CLRN1-AS1	3064
CHCHD6	2757
DNAJB6P7	713
MRE11P1	2127
TM4SF18	4357
LINC01323	576
LINC02618	1327
OR7E129P	968
SYPL1P1	768
SYNPR	4042
LINC00903	223
LINC00635	9656
GAPDHP39	979
LINC02010	4232
AADAC	1632
B3GALNT1	7816
NCK1	5510
BCHE	3072
AADACL2	5071
IL12A-AS1	11658
MTCO3P38	766
ARHGEF26	5459
SLC9A9-AS2	327
NPM1P28	840
BRD7P2	1944
SPSB4	3795
RPS6P4	758
TM4SF1	3495
TMEM183BP	1128
KRT8P36	1440
LINC02046	3764
EGFEM1P	4658
ALG1L2	1499
KLF7P1	1048
TMEM14EP	1296
TMEM212-AS1	868
SLC9A9	4041
PSAT1P4	526
SIAH2	2619
TOMM22P6	409
NEK11	5355
DYNLL1P5	270
RBP1	3905
RPL21P43	472
LINC01210	3699
TNFSF10	3441
LINC01192	10264
LINC01326	755
MTND3P7	343
NPM1P29	803
RPL23AP40	390
PHC3	16919
PXYLP1	13343
SLC35G2	4283
LXN	1459
LARP7P4	878
FNDC3B	13324
EEF1B2P8	671
KRT18P34	1270
LINC01324	844
SI	6139
RPL22L1	2051
SPATA16	2129
MECOM-AS1	535
ARMC8	9843
MCUR1P2	508
ATP1B3	2617
STAG1-DT	3151
MTND4P17	350
SDHDP3	471
GFM1	11789
TMEM212	2719
ERICH6	2075
GMPS	8765
PPIAP74	490
KRT18P35	1269
LINC02068	3667
NAALADL2-AS1	804
HMGN2P26	339
EEFSEC	2394
LINC01208	5609
ANAPC15P2	344
SLC2A2	3411
SLITRK3	5274
OR7E21P	987
LINC02021	4053
LINC00578	6313
KRT8P13	1010
LINC01997	1059
SLC25A36	10339
SKIL	7782
P2RY1	6309
EEF1A1P25	1267
NAALADL2-AS3	422
FXR1	11874
UBE2V1P2	440
SERP1	5743
ATP5MC1P4	441
YWHAQP6	304
TNIK	11448
IFT80	7080
PRKCI	5778
LINC02053	3504
LINC02082	2750
PCCB	7498
NAALADL2	13546
RPSAP33	865
LINC02000	640
LINC02014	713
DCUN1D1	8307
SLC31A1P1	567
LINC02023	1948
PLOD2	7663
TPT1P3	512
LINC02031	592
MTND4LP10	291
BZW1P1	1240
AADACL2-AS1	635
LINC02006	2816
SLC7A14-AS1	11251
RPL22P1	410
SNRPCP8	211
SOX2	2512
ATP11B	9187
LNCSRLR	709
DHX36	10552
TBL1XR1-AS1	855
ASS1P7	1226
NPHP3-AS1	5215
HNRNPA1P20	955
NAALADL2-AS2	1038
KCNMB2-AS1	4745
MECOM	9260
LSP1P2	133
MAP3K13	12604
VEPH1	6543
SLC49A4	3322
CHST2	4142
FLYWCH1P1	1874
ZIC4-AS1	268
NLGN1	10148
GTF2E1	3370
SEMA5B	8517
LAMP3	3785
CBX1P5	559
ATR	27234
CCDC39	11806
RTP1	2214
RPL7AP25	805
LINC01014	578
ACTG1P23	1074
SLC33A1	10040
LINC02049	747
RASA2-IT1	612
NLGN1-AS1	815
RPL32P8	231
LINC01995	904
LINC01994	1808
RPL35AP10	331
HMGN2P13	274
TRMT112P5	334
NIP7P2	544
MCCC1-AS1	765
CCDC39-AS1	283
ANKUB1	6544
WWTR1-IT1	451
LINC02015	3254
NAP1L1P3	880
TM4SF4	1530
PPIAP73	403
GHSR	3088
SNRPCP3	476
RPS27P12	258
PA2G4P4	1182
NDUFB4P1	381
GPR149	5527
LINC01206	21769
ATP5MGP5	299
TIPARP	4800
RPL4P4	1284
RPL21P42	464
TRH	1592
PAQR9-AS1	4421
OR7E53P	904
SLC7A14	10496
LINC00880	2208
LINC02877	1283
EI24P1	867
PPIAP75	484
ATP13A4-AS1	1046
ADIPOQ-AS1	3443
YEATS2-AS1	3271
SETP14	873
LINC02066	580
OPA1-AS1	497
SST	607
GRAMD1C	7444
ULK4	6279
PRICKLE2-DT	1803
PPP2R3A	7785
CLSTN2	14596
NMNAT1P3	888
EIF4EP3	656
KLHL24	8650
RTP4	1501
MUC20P1	1680
WWTR1-AS1	2624
LINC02036	3502
IL17RD	9561
DNAJC13	9630
LINC00501	2046
PRICKLE2-AS2	496
ALG1L15P	794
HGD	2682
TPRG1-AS2	479
POGLUT1	7072
OR7E97P	1015
TRIM42	2514
IL1RAP	11558
DGKG	10975
KLHL6	10543
LINC01209	2400
ATP6V0E1P2	245
LINC01840	571
LINC00886	3961
HNRNPA1P24	1046
PRDX3P4	747
METTL15P1	1045
ADAMTS9	10680
B3GNT5	8125
DDX50P2	2193
TRAK1	10799
RPL32P10	399
LINC01991	1713
GOLIM4	4584
TM4SF19-AS1	2136
MUC4	21021
SIAH2-AS1	4076
KCNAB1-AS2	538
MTAPP2	832
CCDC50	9183
HES1	2059
GK5	12143
DYNLT2B	1246
EHHADH	4651
ACAP2-IT1	690
RPL36P20	319
TM4SF1-AS1	2330
MUC20-OT1	17599
SLC51A	5263
TTC14	7900
EIF2B5	7203
PIK3CB	7841
LINC02048	2451
CICP6	2729
SHQ1	5833
LINC02026	2937
MTND5P15	349
RTP2	1346
OSTN-AS1	865
LINC01972	553
LINC01213	1719
LINC02041	246
PCYT1A	7967
LRCH3	12639
KLF3P2	268
FBXO45	5976
IGF2BP2-AS1	3415
NMNAT3	12983
TMEM212-IT1	470
MTCO1P29	288
SDHAP2	2001
FLJ42393	2270
RPS29P3	171
BCL6	5936
YEATS2	10232
FYTTD1	7897
SENP2	7102
BDH1	11814
PLAAT1	1166
DLG1-AS1	2137
TUBB8P8	1058
PYDC2	294
LINC02013	1664
IQCG	7468
FRG2FP	1155
PPP1R2	5123
LINC02028	10693
UBXN7-AS1	386
RNF168	5347
TM4SF19-DYNLT2B	964
LINC02012	1725
FAM157A	7091
ZDHHC19	2429
RUBCN	11139
TMEM41A	8668
CCT6P4	1589
XXYLT1	5396
MB21D2	3063
LPP-AS1	494
SENP5	7035
P3H2	5573
RPL35A	2899
APOD	2022
WDR53	1797
SMBD1P	416
SEPTIN14P3	183
LMLN	8692
TPRG1	9538
LINC01968	10117
ATP13A5-AS1	476
TPRG1-AS1	697
UBXN7	11247
RPL7L1P8	741
LMLN-AS1	542
ADIPOQ	4599
ATP13A4	8988
PLCH1-AS1	1308
PLCH1-AS2	408
RPS27AP8	445
DPPA2P3	655
RPL6P7	853
GMNC	3962
SMCO1	1846
RPL9P15	532
ETV5	5773
C3orf33	2061
RAP2B	8402
LINC01998	1967
ETV5-AS1	560
GAPDHP47	999
LPP-AS2	2852
EPHB3	4530
ARF4-AS1	884
ST13P15	1107
ARF4	2595
XXYLT1-AS1	431
RBM43P1	1081
LIPH	4097
EIF5A2	5541
XXYLT1-AS2	784
KLHL6-AS1	503
VEZF1P1	1541
SEC22A	4704
CD96	5621
U2SURP	11297
RNU6-1194P	104
RN7SKP144	279
RNU4ATAC17P	120
MIR563	79
RNU6-905P	107
RN7SL147P	298
RN7SL120P	296
MIR4791	84
MIR3135A	77
RNU6-788P	104
RNU4-85P	123
RNU6-822P	106
MIR3714	65
MIR466	84
MIR548AY	107
RNU6-815P	113
RNA5SP124	110
RNU6-243P	107
RN7SL296P	299
RNA5SP127	133
RNA5SP128	116
RN7SKP227	330
RNU7-110P	62
MIR128-2	84
RNA5SP129	118
RNU6-1301P	104
RNU6-235P	107
RNU5B-2P	113
RNU6-922P	99
RNU5B-3P	115
RN7SKP58	305
RNU7-73P	63
RNU6ATAC4P	126
RNU4-78P	126
RNU7-10P	63
MIR564	94
MIR4787	84
RNU6-367P	100
MIR6822	61
RNU6ATAC29P	125
RNU6-856P	98
RNU6-1181P	106
RNU6ATAC16P	138
RNU6-108P	107
SNORD19	68
SNORD19C	76
SNORD69	77
RNU6ATAC26P	126
MIR4272	64
RNU6-483P	108
RNA5SP135	125
RN7SL863P	296
RNU6-139P	110
RNA5SP134	96
RN7SL647P	300
RNU6-1270P	108
RNU4-56P	142
RNU7-119P	63
RNU2-64P	191
RNU6-217P	104
RNU7-19P	66
MIR548BB	66
RN7SL411P	300
RNU2-10P	211
MIR8064	90
MIR1324	96
RN7SKP284	343
RNA5SP131	119
RNU6-739P	103
RN7SL271P	295
RNU6-281P	103
RN7SL751P	284
RNU6-873P	107
MIR3923	83
MIR3136	78
RNU2-28P	189
MIR4273	84
RN7SKP61	295
MIR8060	76
RNU6-1129P	104
MIR548AB	84
MIR3921	85
RNU6-1236P	99
MIR138-1	99
RNU6ATAC15P	121
RNU6-712P	100
MIR4445	70
RNU6-461P	107
MIR5787	55
RNU6-1127P	107
RN7SL815P	290
RN7SL582P	279
RNU1-43P	165
MIR8076	83
MIR5682	76
MIR4447	91
RNU5E-8P	116
RNU6-557P	110
RNA5SP137	135
RN7SL767P	295
MIR567	98
MIR4446	67
RNU6-386P	107
RNU6-823P	103
MIR6825	66
MIR7976	66
RNU6-1094P	104
RNU6-1047P	107
RNU6-1200P	107
RNU6-232P	64
MIR7110	86
MIR5092	88
RNU6-230P	104
SNORD19B	84
RNU6-1284P	100
RNA5SP142	122
RNU6-789P	102
RN7SKP124	341
RN7SL724P	271
RN7SL300P	318
RNU6-509P	107
RNU1-30P	163
RN7SL715P	286
RNA5SP144	116
RNU6-425P	102
RN7SKP46	234
RNU6-1294P	81
RNU1-100P	165
RNU6-1308P	103
RN7SKP298	94
RNU6-901P	106
RNU2-20P	191
RN7SKP177	355
RNU6-1098P	96
RNU7-82P	62
MIR6828	60
MIR569	96
MIR551B	96
RN7SKP52	250
RNU6-315P	107
RNU6-1120P	108
RNU6-547P	102
RNU6-637P	107
RN7SL215P	298
MIR1263	86
MIR7977	49
SNORA63D	132
RNU6-348P	107
RN7SKP40	242
RN7SKP234	224
RN7SKP265	223
RNA5SP151	117
RNU6-486P	107
RNU6-910P	107
RNU6-505P	107
RNU1-70P	164
MIR3137	75
MIR944	88
RNU6-720P	108
RNA5SP147	109
RN7SL36P	276
RNU4-4P	130
MIR4789	82
RN7SL703P	302
RNU6-681P	104
RNU6-507P	100
RNU6-1233P	102
RNU6-25P	107
RNU4-91P	135
SNORA63E	131
RNU6-1317P	104
MIR4797	71
RN7SKP296	341
RNA5SP150	119
RNA5SP146	123
RNU6-860P	104
RNU6ATAC24P	135
RNY3P13	102
RNA5SP148	94
RNU6-1279P	103
RNU6-621P	109
RNU6-858P	107
MIR28	86
RN7SL434P	271
RN7SL738P	297
RN7SL447P	245
MIR570	97
RNU6-821P	107
MIR922	81
RN7SL73P	252
RNU6-1109P	107
RN7SL141P	266
RN7SL229P	299
ADGRG7	4079
GMFBP1	427
RNU6-865P	107
CPA3	1815
UBQLN4P1	1801
GYG1	7551
HLTF	6024
HLTF-AS1	415
MED28P2	317
HPS3	6202
DNAJB8-AS1	1798
GATA2	4475
GATA2-AS1	2905
TMED10P2	612
RPN1	3965
POU5F1P6	990
MARK2P8	952
LINC01565	2697
CBX5P1	561
C3orf38	3259
ABCF2P1	1867
FAM136CP	406
FAM172BP	1089
PCNP	3045
RPL32P7	402
RNU6-1256P	103
RNY1P12	105
ZBTB11-AS1	2743
RPL24	2618
CEP97	8882
HMGB3P14	599
LINC02004	294
RPL39P5	449
HMGN1P9	298
HMGB3P13	607
KY	9001
RNU6-1174P	101
RNA5SP141	120
CYCSP10	294
CYCSP11	315
FANCD2OS	1919
BRK1	1150
IRAK2	3431
LINC00852	1328
GHRL	2073
GHRLOS	3166
SEC13	5380
MIR378B	57
PRKAR2A-AS1	4410
SLC25A20	1898
ARIH2OS	1042
P4HTM	7637
DALRD3	3686
MIR425	87
NDUFAF3	1727
MIR191	92
PTX3	1884
SNTN	5135
THOC7	1749
THOC7-AS1	673
SCAANT1	255
PSMD6-AS2	2456
PSMD6-AS1	441
H2BP3	380
DRD3	3173
FAM214BP1	1624
TIGIT	6091
MIR568	95
ZBTB20-AS1	5823
ZBTB20-AS5	1855
ZBTB20-AS2	372
MIR4796	81
ZBTB20-AS3	464
YBX1P3	909
ZBTB20-AS4	675
EIF4E2P2	736
ZBTB20	32008
MME-AS1	828
LINC01487	1596
STRIT1	783
PABPC1P10	381
MLH1	7970
VHL	4890
CX3CR1	3656
DAZL	3555
THRB	10968
GAP43	1901
RPL15	7141
CNBP	3584
XPC	4636
CLDN11	4321
IGF2BP2	5330
ZNF80	2948
ALDH1L1	13712
GPD1L	4697
PARL	2268
CCNL1	8729
NCEH1	4808
TMEM43	3498
TBL1XR1	11689
MAP6D1	2362
TM4SF19	1899
NUDT16	7029
DIPK2A	5463
RABL3	6427
LMOD3	5083
FTH1P4	553
RN7SL698P	302
RPS15AP16	361
MARK2P17	841
MARK3P3	727
MARK2P6	897
ATXN7	15319
LINC01327	535
ZBBX	4565
TMEM45A	6005
ABI3BP	10978
MYLK-AS2	827
MIR5002	97
RPL7P15	712
RAB7A	7194
MIR4442	67
CRIP1P2	228
NGLY1	8616
RPL32P11	409
TAF9BP1	746
OXSM	2476
LINC00692	990
MIR1224	85
ALG3	3455
EEF1AKMT4	975
EEF1AKMT4-ECE2	3445
CAMK2N2	1452
PSMD2	4960
EIF4G1	8752
SNORD66	76
FAM131A	8925
CLCN2	8522
CHRD	6620
LINC02054	4058
LINC01839	727
DLEC1	8338
PPP2R2DP1	637
ACAA1	7106
TFG	12709
RNU6-1227P	107
WDR48	7473
LRRC2-AS1	2297
TDGF1	2489
ALS2CL	9059
TMIE	2159
PRSS50	1332
PRSS46P	1015
PRSS45P	1290
PRSS43P	1670
PRSS44P	1074
PRSS42P	1857
MYL3	2804
PTH1R	2783
NBEAL2	12058
NRADDP	1728
MRPL57P3	176
ACVR2B-AS1	2517
ACVR2B	15705
EXOG	5575
DDTP1	383
RPL18AP7	524
LRRFIP1P1	2246
ZNF639	6819
MFN1	5945
GNB4	7975
MTHFD2P7	983
ACTL6A	3668
MRPL47	1365
MYD88	3989
CPN2	3025
LRRC15	5938
RNU6-1101P	81
RPL23AP93	484
LSG1	4801
FAM43A	3155
BHLHE40	3516
RNF10P1	369
UBTFL8	2112
ARL8B	3546
EDEM1	6737
MIR4790	79
RN7SL553P	298
RNU1-62P	164
WNT5A-AS1	500
ERC2	8034
ERC2-IT1	2177
MIR3938	103
RN7SKP45	304
RNA5SP133	119
CCDC66	9286
RN7SL418P	287
SCN11A	12516
MAGEF1	1701
LINC02069	3239
C3orf70	7159
EHHADH-AS1	1632
EIF2S2P2	982
MIR5588	63
VPS8	10366
PIK3R4	5377
RN7SKP212	328
GSTO3P	718
RNU6-726P	107
CLDN1	3628
GCNT1P3	575
CLDN16	3330
ATP2C1	8510
TFDP2	11897
C3orf14	4388
TRANK1	12134
NME9	4119
SUCLG2	3088
PLCD1	4194
SSR3	5179
ASTE1	3427
PSMD6	9056
PLCH1	7177
WWTR1	8353
LRIG1	7043
ZIC4	8517
STIMATE	5705
THPO	2705
NMD3	4869
ARHGEF3	6576
CISH	5056
RNF13	3573
NKIRAS1	5107
STXBP5L	11085
RYK	8162
HEMK1	19221
SIDT1	7798
CCDC14	11454
C3orf52	6021
PRR20G	1085
CCDC80	13068
ADCY5	8205
ZNF148	10437
CAMK1	2715
ARPC4-TTLL3	2765
RPUSD3	5348
JAGN1	1779
IL17RE	4673
AMT	5675
NICN1	3542
RNA5SP130	114
DAG1	6921
BSN-DT	2956
BSN	16241
BSN-AS1	461
APEH	4425
RNF123	7419
AMIGO3	2856
GMPPB	6675
COX6CP14	174
PRRT3	3953
PRRT3-AS1	614
CIDEC	1960
RPL38P1	211
HMGB1P30	606
SNORD13P3	104
KLHL18	7064
PSMD10P2	1087
RNU6-1105P	107
GPS2P2	888
EIF4A2	6130
SNORD2	69
SNORA63B	123
MIR1248	106
SNORA81	178
SNORA4	138
LINC02043	1832
ATP5MC1P3	410
LINC01391	3889
FOXL2	2914
FOXL2NB	5123
PRR23A	2307
PRR23B	1896
PRR23C	2791
RPL7L1P7	724
BPESC1	3522
PISRT1	531
RBP2	845
ACTG1P1	1129
LRRC58	7918
MIR198	62
RPL30P4	333
CNOT10-AS1	466
SUGT1P2	992
RPL23AP43	471
TRIM71	8704
ACTG1P12	1166
TIMP4	1194
MTCO1P5	344
GSTM5P1	660
RNA5SP123	119
RNU6-377P	102
SERPINI2	2835
PDCD10	3275
HMGN1P8	288
SERPINI1	2128
MEMO1P3	302
PLSCR4	4231
PLSCR2	2709
PLSCR1	4332
RNU6-428P	107
PLSCR5-AS1	450
SMC4	8164
MIR15B	98
MIR16-2	81
TRIM59	7822
B3GAT3P1	806
RNU7-136P	69
KPNA4	13643
SCARNA7	330
KRT8P12	2047
RPL6P8	843
ARL14	1289
PPM1L-DT	1715
MIR4795	89
CHMP2B	8243
KRT8P25	1456
WNT5A	7153
CFAP91	7106
PHBP8	725
RN7SL762P	289
RN7SL397P	298
CRIP1P1	185
RRP9	1542
GPR62	2119
ABHD14A-ACY1	4761
ACY1	4727
RPL29	2011
DUSP7	5669
POC1A	2274
ALDOAP1	1078
ALAS1	2536
TWF2	4211
PPM1M	3607
WDR82	5719
MIRLET7G	84
GLYCTK	4794
GLYCTK-AS1	1391
MIR135A1	90
PPP2R5CP	1231
BAP1	4718
RPS20P14	360
RPL39L	1033
ST6GAL1	11142
KLF15	2814
CFAP100-DT	1186
CFAP100	3382
ZXDC	7329
UROC1	3444
C3orf22	2168
RNA5SP138	114
NUP210P1	1194
RCC2P4	1042
NRROS	2902
RNU6-646P	106
PAK2	6270
RNU4-89P	133
RNU6-42P	107
CEP19	2158
LINC02025	481
CADM2	9982
MIR5688	83
CADM2-AS2	768
CADM2-AS1	2656
THAP12P2	2267
COPB2	18721
QRICH1	5328
RN7SL182P	300
QARS1	4703
MIR6890	61
LAMB2	6865
LAMB2P1	1799
CCDC71	1791
KLHDC8B	2171
C3orf84	881
IMPDH2	5123
CLRN1	3351
ACAD11	5033
NPHP3-ACAD11	7789
ACKR4	2669
HSPA8P19	1517
RNU6-787P	107
RN7SL482P	298
LINC01983	943
KIF3AP1	611
MIR6829	67
TNK2-AS1	2838
RNU2-11P	187
SDHAP1	3353
TFRC	7794
RNU7-18P	62
TMEM40	3297
KRT18P17	1279
CAND2	5587
RPL32	3714
SNORA7A	139
GSK3B	17871
RAB6B	6055
C3orf36	1668
C3orf62	4142
MIR4271	67
USP4	7328
RHOA-IT1	517
LINC00870	8761
RNA5SP136	107
TMEM44	4561
ECE2	4729
PCBP4	3738
ECT2	5499
XRN1	11982
DLG1	16552
POPDC2	2208
CD47	8234
COX17	1911
CACNA2D2	6508
ARIH2	8017
ANAPC13	2356
AMOTL2	6479
SLC41A3	6590
TMEM108	8408
SLC12A8	5586
OPA1	9040
GPR156	6186
KCNAB1	6822
CGGBP1	6549
ZNF654	6800
RNU6ATAC6P	126
SCN5A	10028
TP63	7479
MASP1	13122
RNU6-678P	109
RNA5SP140	92
TF	26038
SLCO2A1	5127
GPX1	1178
H3P13	707
PEX5L-AS1	827
PEX5L-AS2	660
UQCRHP4	272
MDFIC2	3105
CPB1	5703
AGTR1	3478
FLNB-AS1	3709
DNASE1L3	2992
ABHD6	3563
RPP14	8376
PXK	5355
PDHB	4717
PEX5L	10236
RNA5SP149	92
GAPDHP36	918
RALBP1P1	1953
NDUFB5	5871
USP13	15296
MME	9863
HTD2	3738
LINC02020	4210
LINC02052	4350
LINC02051	690
CRYGS	2080
TBCCD1	3398
AHSG	2216
FETUB	2024
HRG	4993
DNAJC19P4	345
CNTN4-AS1	2078
IL5RA	6602
TRNT1	5802
RHOA	4805
ACAD9	11841
GP9	877
RAB43	4991
ISY1-RAB43	4868
ISY1	3872
LIMD1-AS1	4528
SACM1L	7337
SLC6A20	6653
SDHDP4	474
CXCR6	3775
NRBF2P2	861
RNU6-488P	99
PROS1	5270
RNU6-511P	107
HMGN1P7	313
STX19	1149
DHFR2	4352
NSUN3	8858
RBBP4P2	1264
ARL13B	6841
RPL35AP8	240
VIPR1	7384
VIPR1-AS1	5197
SEC22C	8159
SS18L2	3118
RN7SL567P	303
KLHL40	2499
HHATL	2888
HHATL-AS1	1443
CCDC13	7071
CCDC13-AS1	2370
HIGD1A	3024
ACKR2	5460
CYP8B1	4174
HNRNPA1P22	946
ZBTB47	5685
IQCF1	763
IQCF4P	1174
IQCF2	642
RN7SL504P	287
IQCF5-AS1	2000
IQCF5	529
PARP3	3198
TATDN2	5572
MIR885	74
LINC01988	1019
ZNF852	4478
EI24P3	1062
ZKSCAN7	4208
ZNF660	6513
MPRIPP1	1089
ZNF197	7995
ZNF197-AS1	623
ZNF35	2658
SOCS5P3	1576
SCN10A	6730
CAPN7	5596
SH3BP5-AS1	6877
SH3BP5	4616
RNU6-454P	107
HMGN2P7	273
METTL6	6975
EAF1	4909
RNU6-1024P	107
EAF1-AS1	4321
COLQ	9237
MIR4270	70
RN7SL110P	283
HACL1	3060
BTD	17103
MIR3134	74
RN7SL4P	295
SEMA3B	5768
MIR6872	62
LSMEM2	1434
HYAL3	1967
NAA80	2183
RN7SKP222	315
FGF12-AS1	1080
FGF12-AS2	580
